ID,Original_Input,Gold_Reference,Baseline (Pivot)_Output,Baseline (Pivot)_Style,Baseline (Pivot)_Content,Baseline (Pivot)_Fluency,Baseline (Pivot)_Composite,Model 2 (ZeroShot)_Output,Model 2 (ZeroShot)_Style,Model 2 (ZeroShot)_Content,Model 2 (ZeroShot)_Fluency,Model 2 (ZeroShot)_Composite,Model 3 (Synthetic)_Output,Model 3 (Synthetic)_Style,Model 3 (Synthetic)_Content,Model 3 (Synthetic)_Fluency,Model 3 (Synthetic)_Composite
44,漫画杰作巴切斯特塔(1857年) 可能已经成为最著名的了,巴切斯特塔(1857年)很可能已是最著名的。,漫画人物Bachestar 可能已经成为最著名的人物。,1,0.777,1289.1,0.392,漫画杰作巴切斯特塔(1857年) 可能已经成为最著名的,0,0.985,1954.1,0.0,漫画杰作巴切斯特塔(1857年) 可能已经成为最著名的,0,0.985,1954.1,0.0
45,1975年 英玛·伯格曼 制作的一部受人欢迎的电影版,1975年由 ingmar bergman 导演的电影版,1975年 一部由英玛伯格曼导演的电影,1,0.839,10601.8,0.199,1975年 英玛·伯格曼 制作的一部电影版,1,0.928,2435.0,0.337,1975年 英玛·伯格曼制作的电影版,1,0.897,4787.8,0.266
46,包括民主的州长Dave Freudenthal 怀俄明州和荷兰的菲尔·布雷德森。,批评者包括达夫·费伦斯(Dave Freundenthal)的怀俄明州和德涅西州的菲尔·布雷德森。,包括怀俄明州的民主总督戴夫·弗洛伊德恩塔尔和民主参议院候选人荷兰的菲尔·布雷德森。,1,0.836,2498.0,0.322,包括民主的州长Dave Freudenthal 怀俄明州 荷兰的菲尔·布雷德森 以及荷兰民主联盟(pro-choice)成员埃里克劳伦斯 麦凯恩逊 格雷厄姆斯特丹,1,0.819,3082.4,0.298,包括民主州长Dave Freudenthal 怀俄明州和荷兰的菲尔·布雷德森。,1,0.981,1678.0,0.388
47,宗教事务部还指控这些个人在2000年7月因Ariel Sharon访问al-aqsa清真寺而爆发的起义中发挥隐蔽作用。,"宗教间委员会还指控这些个人在2000年september 爆发的起义中发挥隐蔽作用,这次起义是在Ariel Sharon访问al-aqsa清真寺之后爆发的。","宗教事务部还指称,这些人在2000年初发生的起义中发挥了隐蔽作用,这次起义是因伊斯雷利政府访问al-aqsa清真寺而爆发的。",1,0.87,7850.3,0.223,宗教事务部还指控这些个人在2000年7月因Ariel Sharon访问al-aqsa清真寺而爆发的起义中发挥隐蔽作用|,1,0.991,8193.7,0.23,宗教事务部还指控这些个人在2000年7月因Ariel Sharon访问al-aqsa清真寺而爆发的起义中发挥隐蔽作用。,1,1.0,7040.0,0.242
48,"也发现尽管总理米科拉·阿扎罗夫承诺停止杀戮, 狗仍被屠杀,","也发现尽管总理米科拉·阿扎罗夫承诺阻止, 狗在准备比赛时仍被杀害。",也发现政府利用警方防止杀戮。 警方也利用警方来阻止杀戮。,0,0.669,1753.7,0.0,"也发现尽管总理米科拉·阿扎罗夫承诺停止杀戮, 狗仍遭屠杀,",0,0.995,22800.0,0.0,"也发现尽管总理米科拉·阿扎罗夫承诺停止杀戮, 狗仍被屠杀,",0,1.0,21374.8,0.0
49,"接替史密斯的托尼·布莱尔被选为党的领导,该党后来放弃了传统的社会主义,后来在1997年赢得劳工党的胜利。 Blair随后承认他同意目前宪章88的许多目标和意图。","接替史密斯的托尼·布莱尔被选为党的领导,该党后来于1997年赢得劳工党的胜利,Blair随后承认他同意目前章程88的许多目标和意图。","接替史密斯的托尼·布莱尔当选为该党领导人,该党后来放弃了传统的社会主义,于1997年赢得了劳工党的胜利,他随后承认他同意现行88年宪章的许多目标和意图。",1,0.944,47832.3,0.125,"接替史密斯的托尼·布莱尔被选为党的领导,该党后来放弃了传统的社会主义,后来在1997年赢得劳工党的胜利。",1,0.91,49690.0,0.122,"接替史密斯的托尼·布莱尔被选为党的领导,该党后来放弃了传统的社会主义,后来在1997年赢得劳工党的胜利。 Blair随后承认他同意目前宪章88的许多目标和意图。",1,1.0,38174.3,0.138
50,"即使观测到的宇宙中的每个质子都是一只猴子, 身上装着打字机, 从大爆炸打到宇宙末(当质子不复存在时), 它们仍然需要更多时间 超过三万六千个数量级 才能有甚至十分之一的成功机会。","即使观测到的宇宙中的每个质子都是一只猴子, 身上装着打字机, 从大爆炸打到宇宙末(当质子不复存在时), 它们仍然需要更多时间 超过30万6千个数量级 才能有10500个成功的机会。","即使宇宙中观察到的每个质子都是猴子, 上面有打字机, 从大爆炸到宇宙末端(质子消失时), 它们仍然需要更多的时间 才能成功, 达到36,000个数量级。",1,0.871,1427.3,0.394,"即使观测到的宇宙中的每个质子都是一只猴子, 身上装着打字机, 从大爆炸打到宇宙末(当质子的不存在不再存在时), 它们仍然需要时间超过三万六千个数量级才能有甚至十分之一的成功机会。",0,0.978,2481.5,0.0,"即使观测到的宇宙中的每个质子都是一只猴子, 身上装着打字机, 从大爆炸打到宇宙末(当它们不复存在时), 它们仍然需要时间 超过三万六千个数量级 才能有甚至十分之一的成功机会。",0,0.984,3757.5,0.0
51,诗人海马希尼(simus heaney)是其中最精彩也是最近最精彩的一曲。,最新消息之一是诗人海马希尼。,诗人喜马拉尼是最近的一个。,1,0.707,4913.2,0.243,"诗人海马希尼(simus heaney)是其中最精彩也是最近最为精彩的一首曲 ,",0,0.976,934.2,0.0,诗人海马希尼(simus heaney)是其中一首。,1,0.854,3255.1,0.297
52,"冲突造成1 400多人丧生,其中大多数是黎巴嫩平民,严重损坏了利巴尼基础设施,使近975 000名利巴尼人和300 000名以色列人流离失所。","冲突造成1 400多人丧生,其中大多数是黎巴嫩人,严重损坏了利巴的基础设施,使近975 000名利巴尼人和300 000名西经人流离失所","冲突造成1 400多人死亡,其中大多数是黎巴嫩平民,对解放组织的基础设施造成严重破坏,近975 000名解放组织和300 000名以色列人流离失所。",1,0.912,1061.1,0.441,"冲突造成1 400多人丧生,其中大多数是黎巴嫩平民,严重损坏了利巴尼基础设施,使近975 000名以色列人流离失所",1,0.969,1359.9,0.415,"冲突造成1 400多人丧生,其中大多数是黎巴嫩平民,严重损坏了伊斯雷尔基础设施,使近975 000名以色列人流离失所。",1,0.952,1291.6,0.419
53,"由微软窗口和播放站4的极数数字极端开发的 自由游戏, 玩家可以自由下载游戏货币,","游戏框架是一个合作玩乐的第三人手射击游戏,由微软窗口和播放站4的数字极端开发,虽然游戏可以自由下载,但玩家可以购买游戏中货币,称为白金。","由窗口开发的自由游戏和玩耍站4的极端数字游戏极端, 玩家可以自由地下载游戏货币, 而游戏是一种游戏, 是一种世界游戏。",0,0.816,5087.1,0.0,"由微软窗口和播放站4开发的 自由游戏, 玩家可以自由下载游戏货币,",0,0.94,4485.9,0.0,"由微软窗口和播放站4开发的 自由游戏, 玩家可以自由下载游戏货币,",0,0.94,4485.9,0.0
54,"利用合成人流行的流行, giorgio moroder被雇用为影片创作歌曲(虽然有趣,","利用合成人流行的流行,雇用了giorgio moroder为电影创作歌曲(虽然电影中很少使用)。","乔治·莫罗德用合成材料为电影写歌(虽然有趣,但不仅是为了正在写歌的人,也是为了正在写歌的人)。",0,0.693,1966.3,0.0,"利用合成人流行的流行, giorgio moroder被雇用为影片创作歌曲",1,0.948,3652.6,0.296,"利用合成人流行的流行, giorgio Moroder被雇用为影片创作歌曲。",1,0.921,1736.2,0.376
55,"说交易拖延了, 但俱乐部很快否认谣言, 一名俱乐部发言人表示, 他们和Tvez都“对情况感到放松”,","说交易拖延了, 但俱乐部很快否认谣言, 一名俱乐部发言人表示, 他们和Tvez都“对情况有所松懈”。","俱乐部的发言人说 他们和Tvez都在""放松""",1,0.759,9777.5,0.198,"说交易拖延了, 但俱乐部很快否认谣言,一名俱乐部发言人表示, 他们和Tvez都对情况感到放松”,",1,0.99,5104.2,0.269,"说交易拖延了, 但俱乐部很快否认谣言, 一名俱乐部发言人表示,",1,0.906,4461.5,0.273
56,"1991年,她用活生生的武力将女同性恋Catherine Sttauffer从她试图拍摄的教堂的矿石公民联盟活动中赶走。","1991年,她试图在教堂拍摄的矿石公民联盟活动中,将女同性恋卡瑟琳·斯塔弗尔(Catherine Stauffer)从她试图拍摄的教堂中活生生地从一次矿石公民联盟活动中开除出来。","1991年,她将女同性恋凯瑟琳·斯塔弗尔驱逐出奥列公民联盟,",0,0.721,10240.2,0.0,"1991年,她将女同性恋Catherine Sttauffer从她试图拍摄的教堂的矿石公民联盟活动中赶走。",1,0.939,19844.1,0.168,"1991年,她用活生生的武力将女同性恋Catherine Sttauffer从她试图拍摄的教堂的矿石公民联盟活动中赶走。",0,1.0,8751.6,0.0
57,柯克·德米科是学院奖 获提名的美国编剧 导演和制片人,柯克·德米科是一名美国编剧 导演和制片人,Kirk de Mico是美国作家、导演和制片人。,1,0.709,1092.2,0.402,柯克·德米科是学院奖 获提名的美国编剧 导演 制片人,0,0.976,18020.7,0.0,柯克·德米科是美国编剧 导演和制片人,1,0.883,8654.7,0.217
58,俄国人可能有能力在月球表面 打印锤子和镰刀 如果他们在火箭技术中找到铅的话,俄国人可能有能力在月球表面 打印锤子和镰刀 如果他们在火箭技术中找到铅的话,"俄罗斯人有可能在月球表面打印锤子和镰刀,如果他们在火箭技术中发现铅。",1,0.926,4061.9,0.284,俄国人可能有能力在月球表面打印锤子和镰刀 如果他们在火箭技术中找到铅的话,1,1.0,2736.8,0.332,俄国人可能有能力在月球表面 打印锤子和镰刀 如果他们在火箭技术中找到铅的话,1,1.0,2736.8,0.332
59,"这使水能够沿着胜利之旅移动到最需要的地方,并减少气候变化时代当地干旱的影响。","这使水能够沿着胜利之旅移动到最需要的地方,并减少在被认为是受气候变化影响的时代当地干旱的影响。","这使水能够转移到最需要的地方,减轻气候变化时代当地干旱的影响。",1,0.926,19672.4,0.168,"这使水能够沿着胜利之旅移动到最需要的地方,从而减少气候变化时代当地干旱的影响。",1,0.989,20340.2,0.169,"这使水能够沿着胜利之旅移动到最需要的地方,并减少气候变化时代当地干旱的影响。",1,1.0,19333.6,0.173
60,"以及博戈斯最高当局(西班牙保守派, 社会主义者在这方面支持)的强烈反弹。","由Basque和trevio地方当局提出, 主张至少与熔岩合作的意愿, 遭到博格斯最高当局(西班牙保守派,",博戈斯最高当局最强烈的反应是西班牙当局的强烈反应。,0,0.768,5083.7,0.0,"以及博戈斯最高当局(西班牙保守派, 在这方面支持)的强烈反弹。",0,0.959,1064.4,0.0,"以及博戈斯最高当局(西班牙保守派,社会主义者在这方面支持)的强烈反弹。",0,1.0,2358.7,0.0
61,"主要出口品牌是:泰斯基格罗尼(tyskie granie),占全食性白啤酒的5.5%;和基斯克(ksice Tyskie),占5.7%的经典啤酒。","主要出口品牌是:泰斯基格罗尼(Tyskie granie), 面值5.5%的淡啤酒, 和基斯克(Ksice Tyskie), 面值5.7%的啤酒。",主要出口品牌是:占全食白啤酒5.5%的Teskie pranaie和占经典啤酒5.7%。,1,0.816,227.3,0.711,"主要出口品牌是:泰斯基格罗尼(tyskie granie),占全食性白啤酒的5.5%;和基斯克(ksice Tyskie)占 5.7%",1,0.967,167.7,0.832,"主要出口品牌是:泰斯基格罗尼(tyskie granie),占全食性白啤酒的5.5%;和基斯克(ksice Tyskie)的经典啤酒。",0,0.978,266.9,0.0
62,"在俄罗斯和前苏维埃共和国以外,特别是2006年伊萨-莱巴农冲突之前和期间,赫兹波拉利巴尼民兵还利用卡秋莎来保卫伊斯雷尔攻击。","特别是在2006年伊萨-莱巴农冲突之前和期间, 特别是赫兹波拉利巴尼民兵针对伊斯拉耳(Israel-Lebanon)使用卡秋莎。","在2006年伊萨-黎巴嫩冲突之前和期间,Hezpolilibani民兵还利用卡秋莎保卫伊斯雷尔袭击。",1,0.833,7158.9,0.227,"在俄罗斯以外,特别是2006年伊萨-莱巴农冲突之前和期间,赫兹波拉利巴尼民兵还利用卡秋莎来保卫伊斯雷尔攻击。",1,0.954,12847.7,0.195,"在俄罗斯和前苏维埃共和国以外,特别是2006年伊萨-莱巴农冲突之前和期间,赫兹波拉利巴尼民兵还利用卡秋莎来保卫伊斯雷尔攻击。",1,1.0,17535.7,0.179
63,原组织在最后一位活着的成员去世后解散。,原组织在最后一位活着的成员去世后解散。,前组织在其最后一个活着的成员死亡后解散。,1,0.934,22503.8,0.161,"原组织在最后一位活着的成员去世后宣告解散 ,直至最后一批成员确认死亡为止为止!",0,0.891,8030.4,0.0,原组织在最后一位活着的成员死亡后解散。,1,0.976,13735.7,0.192
64,"穷人的薪酬高于其收入,而穷人的薪酬高于非穷人。",穷人的薪酬比非穷人的薪酬高出收入。,"富人的收入超过收入,而穷人的收入多于富人。",1,0.875,393.8,0.606,"穷人在薪酬高于其收入,而穷人的薪酬低于非穷人;",0,0.97,1633.1,0.0,"穷人的薪酬高于其收入,而富人则高于非穷人。",1,0.958,2316.6,0.346
65,"福音派的典型特征是强调福音派,以及信徒们称之为“个人”的皈依经历(有些人称其为“又出生了”)。","福音的特点是强调福音,以及信徒们称之为“个人”皈依的经历(耶稣福音称其为“又出生了”)。",福音传统的特点通常是强调福音和个别皈依(有些人称其为“又出生了”)。,1,0.856,6966.4,0.231,"福音派的典型特征是强调福音,以及信徒们称之为“个人”的皈依经历(有些人称其为“又出生了”)。",1,0.991,3233.3,0.313,"福音派的典型特征是强调福音,以及信徒们称之为“个人”的皈依经历(有些人称其为“又出生了”)。",1,0.991,3233.3,0.313
66,与中学生的这种联系对行业有许多好处。,"目前有证据表明,与中学生的这种联系对这个行业有利。",与中学生的这种联系对行业有利。,1,0.922,135194.8,0.088,与中学生的这种联系对行业有许多可能的影响,1,0.906,112343.1,0.093,与中学生的这种联系对行业有许多好处。,0,1.0,186507.7,0.0
67,"1979年至1986年,在10个网络上播放了多张获奖的澳洲儿童电视节目,由记者西蒙镇主办。","1979年至1986年,在10个网络上播放了奥斯特里亚儿童电视节目,由记者西蒙镇主办。","1979年至1986年,在记者Simon Town主办的10个网络上播放了数个儿童电视节目。",1,0.868,13170.7,0.187,"1979年至1986年,在10个网络上播放了多张获奖的澳洲儿童电视节目,由记者西蒙镇主办",0,0.988,24178.6,0.0,"1979年至1986年,在10个网络上播放了澳洲儿童电视节目,由记者西蒙镇主办。",1,0.957,11724.9,0.201
68,"贝索拉战斗,骆驼战斗,或果酱战斗,是56年在拜斯拉(伊拉克)巴斯拉发生的一场战斗,是同阿里(先知穆罕马德的表弟和女婿)结盟的部队与与阿里前继母阿丽莎(先知穆哈马德的遗孀)结盟的反叛穆斯林的上级部队之间的一场战斗,后者承认阿里是哈里发,直到他发现前哈里发特命全权杀人犯。","与阿拉伯穆斯林结盟的军队(先知的表兄女婿)与与阿拉伯穆斯林的高级部队(先知的前妻,现在的遗孀)反对阿里作为哈里发的地位。","贝索拉战斗、骆驼战斗或混战是56年在巴斯拉(伊拉克)的战斗,是Ali(先知穆罕默德的表兄女婿)的盟军与前继母Alisa(先知穆罕默德的遗孀)的叛军穆斯林的上级部队之间的战斗,后者承认他是哈里发人,直到他发现前哈里发人杀人犯。",0,0.886,1736.8,0.0,"贝索拉战斗,骆驼战斗 ,或果酱战斗(56年巴斯拉发生的一场战斗),是同阿里(先知穆罕马德的表弟和女婿)结盟的部队与与阿里前继母阿丽莎(阿卜杜勒艾哈迈德穆哈马迪的遗孀 |阿里的前继母亲阿莉莎,后来阿里的母亲艾卜拉姆,最后阿里成为了哈里发,直到他发现前哈里的发特命全权杀人犯",0,0.867,3852.3,0.0,"贝索拉战斗(骆驼战斗或果酱战斗)是56年在巴斯拉发生的一场战斗,是同阿里(先知穆罕马德的表弟和女婿)结盟的部队与与阿里前继母阿丽莎(穆哈马迪的遗孀)的反叛穆斯林的上级部队之间的一场战役,后者承认阿里是哈里发,直到他发现前赫拉发特命全权杀人犯。",0,0.952,6214.7,0.0
69,"无论是慰安妇、“棺材女孩”还是贵族妇女, 白人妇女都不愿定居在法国殖民地,","无论是慰安妇、“棺材女孩”还是贵族妇女, 白人妇女都不愿定居在法国殖民地,","白人妇女不愿定居在殖民地, 不管是慰安妇、“有色女孩”还是高贵妇女。",0,0.878,1986.7,0.0,"无论是慰安妇、贵族妇女, 白人妇女不愿定居在法国殖民地,",0,0.921,8881.4,0.0,"无论是慰安妇、“棺材女孩”还是贵族妇女, 白人妇女不愿定居在法国殖民地,",0,0.989,6085.9,0.0
70,这片巨大的松林 穿过大海滨山脉的低高处 长达3000公里 几乎全程 包括西部巴基斯坦的蓬贾布省 部分通过被占领的卡什米尔 北部印度的贾穆和卡什米尔州 黑马沙尔和锡克希斯州 乌塔拉克汉和锡基姆州 内帕尔和布坦州 松林的东部地区,这片巨大的松林 穿过大海滨山脉的低高处 长达3000公里 几乎全程 包括西部巴基斯坦的普纳贾布省 部分通过阿扎德卡什米尔 北部印度的贾穆和卡什米尔州 黑马沙尔普拉德什州 乌塔拉克汉德和锡基姆州 内帕勒和布坦州 松林的东部地区,"这片巨大的松林穿过大海岸山脉的低高处,长3 000公里,几乎穿过巴基斯坦西部的蓬巴贾布省,部分穿过卡西米尔的软木林东部,北部印度邦贾马和哈什米尔、赫马萨和锡克西、乌特拉汗和锡金、尼帕尔和布坦等北部邦。",0,0.818,2691.8,0.0,这片巨大的松林 穿过大海滨山脉的低高处 长达3000公里 几乎全程 包括西部巴基斯坦的蓬贾布省 部分通过被占领的卡什米尔 北部印度的贾穆和卡,0,0.898,3337.4,0.0,这片巨大的松林 穿过大海滨山脉的低高处 长达3000公里 几乎全程 包括西部巴基斯坦的蓬贾布省 部分通过被占领的卡什米尔,0,0.873,5120.6,0.0
71,"金属装备的很多核心球迷 固态系列批评这个游戏 偏离了这个游戏 与系列的隐形/动作游戏游戏太远, 酸选择了一个转盘牌战役系统。","更多金属装备系列的球迷批评这场游戏偏离了 隐形/动作游戏系列的游戏游戏, 酸性选择了一个转盘牌战役系统。",金属设备粉丝系列 固态系列 批评这场游戏 偏离游戏 以及一系列无形/运动游戏 离得太远,1,0.771,77017.3,0.1,"金属装备的很多核心球迷 固态系列批评这个游戏偏离了这款游戏 与系列的隐形/动作游戏游戏太远,酸选择了一个转盘牌战役系统。",0,0.995,81655.0,0.0,金属装备的很多核心球迷 固态系列批评这个游戏 与系列的隐形/动作游戏游戏太远 酸选择了一个转盘牌战役系统,0,0.948,108067.9,0.0
72,"葡语人主张进一步承认他们的语言, 就象在每一个大陆所讲的: 脚印、brazil、angola、mozambique、cape verde、麦地那比索、Sao tome和principe, 以及asia timor-leste、macau和goa。","许多葡语人主张进一步承认他们的语言, 并主张在大陆上使用: 脚印、布拉齐尔语、安戈拉语、莫扎比克语、斗篷动脉、麦地那比索语、索语、普林西佩语、以及阿西亚语、马考语和谷歌。","土族鼓吹进一步承认他们的语言,包括脚印、布拉齐尔语、安戈拉语、莫桑比克语、斗篷动脉、梅迪纳比索、萨托米语和普鲁奇佩语,以及亚提默列斯特语、马考语和古阿语。",1,0.733,13605.1,0.175,"葡语人主张进一步承认他们的语言, 就象在每一个大陆所讲的: 脚印,brazil,angola,mozambique,cape verde,麦地那比索,Sao tome ,principe,以及asia timor-leste, macau andgoa 等等,",0,0.965,2524.7,0.0,"葡语人主张进一步承认他们的语言, 就象在每一个大陆所讲的: 脚印、brazil、angola、mozambique、cape verde、麦地那比索、Sao tome和principe,",0,0.957,4476.3,0.0
73,"根据中国消息来源,2001年中国人民币(tigbet)的gdp为139亿元(18亿元)。","中国政府宣称2001年的鸡蛋格达139亿元(18亿元),","2001年中国人民币的gdp价值为139亿元(1 800亿元),",0,0.836,17165.8,0.0,2001年中国人民币(tigbet)的gdp为139亿元(18亿元)。,1,0.924,13863.7,0.188,"根据中国消息来源,2001年中国人民币(tigbet)的gdp为139亿元(18亿元)。",1,1.0,14130.4,0.192
74,迈阿密结束了最顶尖的内布拉斯加22场比赛的赢家 赢得了第一次全国冠军 赢得了31 -30场胜利,"迈阿密在1984年的橙色碗中, 结束了最顶尖的内布拉斯加22场比赛的赢家, 赢得了第一场全国冠军,",迈阿密结束了22届最先进的内布拉斯加州冠军 赢得了第一场全国冠军31 -30,0,0.87,19162.8,0.0,迈阿密结束了最顶尖的内布拉斯加22场比赛的赢家赢得了第一次全国冠军,1,0.956,18297.7,0.174,迈阿密结束了最顶尖的内布拉斯加22场比赛的赢家 赢得了第一次全国冠军 赢得31 -30场胜利,1,0.994,22177.6,0.165
75,书中包含一个意外的版本 王子的命运在塔。,这本书还虚构了 塔里王子的命运,这本书包含了王子在塔里的命运,1,0.758,7310.3,0.218,书中包含另一个版本 王子的命运在塔。,1,0.923,4046.1,0.284,书中包含一个版本 王子的命运在塔。,1,0.946,5714.7,0.255
76,"他被激怒到斯威登, 其政府被严格命令 立即把他带到美国 来完成当时的 最高机密曼哈顿项目。","他被激怒到斯威登, 该国政府规定他 立即被送到美国 从事当时的 最高机密曼哈顿项目。",严格命令他的政府 立即带他到美国 完成当时最机密的曼哈顿计划,0,0.836,17367.1,0.0,"他被激怒到斯威登,其政府被严格命令立即把他带到美国来完成当时的最高机密曼哈顿项目。",0,1.0,5248.9,0.0,"他被激怒到斯威登, 其政府被严格命令 立即把他带到美国 完成当时的 最高机密曼哈顿项目。",0,0.992,3989.9,0.0
77,"古代的埃及艺术中 集合的动物,或沙, 是一种奇异的动物, 是神的特异动物。","古代的埃及艺术中 集合动物,或沙, 是神的动物。","古代的埃及人收集动物或沙子的艺术 被认为是一种奇怪的动物,一种神的动物",1,0.835,4900.7,0.257,"古代的埃及艺术中 集合的动物,或沙,是一种奇异的生命动物 , 神的特异动物。",0,0.973,3471.0,0.0,"古代的埃及艺术中 集合的动物,或沙, 是神的特异动物。",1,0.961,3662.5,0.297
78,故意滥用苯并二氮杂卓者通常还有其他药物滥用问题。,苯并二氮杂卓的娱乐性使用者通常还有其他药物滥用问题。,使用苯并二氮杂卓往往与其他药物滥用问题有关。,0,0.885,34762.5,0.0,苯并二氮杂卓者通常还有其他药物滥用问题。,0,0.942,28733.0,0.0,故意使用苯并二氮杂卓者通常还有其他药物滥用问题。,0,0.987,10031.1,0.0
79,"主要的区别在于, 吉斯塔波人是在敌国工作的德国人, 而河马团由达尼斯组成,","主要的区别在于大部分的黑猩猩都是在敌国工作的德国人, 而潮马队则完全由为德国占领者工作的达尼斯组成。","主要的区别是吉斯塔波人是德国人 在敌人中工作, 而河马由达尼斯组成。",1,0.922,4469.2,0.274,"主要区别在于, 吉斯塔波人是在敌国工作的德国人, 而河马团由达尼斯组成,",0,0.992,8859.1,0.0,"主要的区别在于, 吉斯塔波人是在敌国工作的德国人, 而河马团由达尼斯组成,",0,1.0,7364.8,0.0
80,慈善慈善哲学:摩尔基金会为在菲律賓和海滨受苦受难的儿童提供服务。,万塔基金会为在费城和海滨受苦受难的儿童提供服务。,摩尔基金会为菲律宾和海边受苦受难的儿童提供服务。,1,0.908,24080.1,0.156,慈善慈善哲学:摩尔基金会为在菲律賓和海滨遇难儿童提供服务。,1,0.962,11353.3,0.204,慈善慈善哲学:摩尔基金会为菲律賓和海滨受苦受难的儿童提供服务。,1,0.989,6732.5,0.245
81,"专辑《1992-1996年眼花》,是1992-1996年期间在各种2-4-和8轨录音带波尔塔制片厂创作的乐队的歌曲汇编,1998年以臭名昭著的空间摇滚标签、烧发记录发行。","他们的第一张专辑,《1992-1996年眼珠》,1992-1996年创作的乐队歌曲汇编,Cd,于1992-1996年出版,1998年以烧焦的头发记录发表。","1998年发行了《1992-1996年Eyeblow》特别版,这是博尔塔2-4和8轨录音室制作的乐队歌曲汇编,并附有空间岩石标签和燃烧记录。",1,0.798,9936.7,0.2,"专辑《1992-1996年眼花》,是1992 - 1996年期间在各种2-4-和8轨录音带波尔塔制片厂创作的乐队的歌曲汇编,1998年以空间摇滚标签、烧发记录发行。",1,0.974,17549.3,0.177,"专辑《1992-1996年眼花》,是乐队的歌曲汇编,1998年以空间摇滚标签、烧发记录发行。",1,0.854,39896.7,0.129
82,"他唯一与今天有关的工作是主音的奏音,其中吉他被流行的曲解。","他今天最著名的作品是主音的奏音,其中吉他有流行的曲解。","他唯一与今天有关的工作就是主声的音乐, 他演奏流行曲折。",1,0.867,1392.4,0.396,"他的唯一与今天有关的工作是主音的奏音,其中吉他被流行的曲解。",1,0.988,429.7,0.613,"他唯一与今天有关的工作是主音的奏音,其中吉他被曲解。",1,0.963,669.9,0.524
83,也成为最有争议的人之一。,"无疑是最近政治史上最著名的英国政治家之一, 她也是最有分歧的,",博客也将此列为他最有争议的文章之一。,1,0.805,4963.1,0.253,也成为最为争议的人之一。【阅读全文】,0,0.863,23488.5,0.0,也成为最有争议的人之一。,0,1.0,5702.5,0.0
84,"即《星际大战》一集,v:帝国反击, 通常称为特斯布或埃斯布, 是第一部发行的恒星战争电影的续集,","也成为第一部发行的星球大战电影的续集, 第二部影片在最初的三部曲中发行。","即:帝国对第一个即将发行的明星战争电影, 以及第一个即将发行的,第一个即将发行的, 第一个是明星战争电影, 第一个是第一个被发行的, 第一个被发行的, 第一个被发行的, 第一个被世界所战斗的明星。",0,0.642,2470.2,0.0,"即《星际大战》一集,v:帝国反击, 是第一部发行的恒星战争电影的续集",1,0.92,16844.3,0.176,"即《星际大战》一集,v:帝国反击, 通常称为特斯布或埃斯特布,是第一部发行的恒星战争电影的续集。",1,0.989,6829.8,0.244
85,每天从工会站到Harare的交通转移。,"每天从工会站到Hare的交通转移,",工会站和哈拉雷之间的日常交通交通转移。,1,0.799,1642.8,0.365,每天从工会站到Harare市中心的交通转移,1,0.907,4063.7,0.282,每天从工会站到Harare的交通转移。,1,1.0,7322.3,0.239
86,美国人类学协会(aaa)是世界上人类学领域最大的学者和从业者专业组织。,美国人类学协会(aaa)是人类学领域学者和从业者的一个专业组织。,美国人类学家协会是人类学领域最大的学者和从业者专业组织。,1,0.94,324826.6,0.066,美国人类学协会(aaa)是人类学家领域最大的学者和从业者专业组织。,1,0.967,176361.1,0.082,美国人类学协会(aaa)是一个学者和从业者专业组织。,1,0.912,379470.8,0.062
87,他成为了正统神学家 一位解放者反邪教的作者 与卡特哈人对抗,"他成为天主教神学家, 一位解放者反同性恋的作者 与卡特哈人对抗。","他成为了神学家, 解放者反教派的作者, 与卡特里人战斗。",0,0.835,2568.0,0.0,他成为了正统神学家一位解放者反邪教的作者 与卡特哈人对抗,0,1.0,5348.5,0.0,他成为了正统神学家 一位反邪教的作者 对抗卡特哈人,0,0.921,6286.0,0.0
88,"与地区航空条例、培训要求、安全和工作条件有关的问题, 可能引发事故。",事件中讨论的与区域航空条例、培训要求、安全和工作条件有关的问题。,与区域航空条例、培训要求、安全和工作条件有关的问题可能导致事故。,1,0.962,7240.4,0.237,"与地区航空条例、培训要求、安全和工作条件有关的问题, 有可能引发事故",1,0.982,7350.6,0.237,"与地区航空条例、培训要求、安全和工作条件有关的问题, 可能引发事故。",1,1.0,6558.1,0.248
89,"自1999年普尔奇政府开始迫害中国人民共和国以外地区人民党(pira)以来,与法轮风有关的人权活动急剧增加,这在世界各地许多大城市的抗议行动中经常看到,并通过电子和印刷媒体大量媒体。","人民人民共和国(四月)外的falun Gung活动自1999年普尔奇政府开始镇压后急剧增加, 世界各地许多大城市的抗议行动经常看到,","自1999年普里奇政府开始镇压普里奇以外的人民党(皮拉)以来,与法国风有关的人权活动急剧增加,这在世界各地许多主要城市的抗议活动中经常看到,并通过电子和印刷媒体广泛传播。",1,0.903,4786.7,0.266,"自1999年普尔奇政府开始迫害中国人民共和国以外地区人民党(pira)以来,与法轮风有关的人权活动急剧增加,这在世界各地许多大城市的抗议行动中经常看到,并通过电子和印刷媒体大量媒体。",0,1.0,4358.1,0.0,"自1999年普尔奇政府开始迫害中国人民共和国以外地区人民党(pira)以来,与法轮风有关的人权活动急剧增加,这在世界各地许多大城市的抗议行动中经常看到,并通过电子和印刷媒体大量媒体。",0,1.0,4358.1,0.0
